Date,Open,High,Low,Close,Adj Close,Volume
8/16/2021,148.539993286,151.190002441,146.470001221,151.119995117,149.195114136,103296000
8/17/2021,150.229995728,151.679992676,149.089996338,150.190002441,148.276947021,92229700
8/18/2021,149.800003052,150.720001221,146.149993896,146.360000610,144.495712280,86326000
8/19/2021,145.029998779,148.000000000,144.500000000,146.699996948,144.831405640,86960300
8/20/2021,147.440002441,148.500000000,146.779998779,148.190002441,146.302429199,60549600
8/23/2021,148.309997559,150.190002441,147.889999390,149.710006714,147.803085327,60131800
8/24/2021,149.449996948,150.860000610,149.149993896,149.619995117,147.714218140,48606400
8/25/2021,149.809997559,150.320007324,147.800003052,148.360000610,146.470245361,58991300
8/26/2021,148.350006104,149.119995117,147.509994507,147.539993286,145.660705566,48597200
8/27/2021,147.479995728,148.750000000,146.830001831,148.600006104,146.707214355,55802400
8/30/2021,149.000000000,153.490005493,148.610000610,153.119995117,151.169616699,90956700
8/31/2021,152.660003662,152.800003052,151.289993286,151.830001831,149.896057129,86453100
9/1/2021,152.830001831,154.979995728,152.339996338,152.509994507,150.567382813,80313700
9/2/2021,153.869995117,154.720001221,152.399993896,153.649993896,151.692840576,71115500
9/3/2021,153.759994507,154.630004883,153.089996338,154.300003052,152.334609985,57808700
9/7/2021,154.970001221,157.259994507,154.389999390,156.690002441,154.694183350,82278300
9/8/2021,156.979995728,157.039993286,153.979995728,155.110000610,153.134292603,74420200
9/9/2021,155.490005493,156.110000610,153.949996948,154.070007324,152.107528687,57305700
9/10/2021,155.000000000,155.479995728,148.699996948,148.970001221,147.072494507,140893200
9/13/2021,150.630004883,151.419998169,148.750000000,149.550003052,147.645095825,102404300
9/14/2021,150.350006104,151.070007324,146.910003662,148.119995117,146.233306885,109296300
9/15/2021,148.559997559,149.440002441,146.369995117,149.029998779,147.131729126,83281300
9/16/2021,148.440002441,148.970001221,147.220001221,148.789993286,146.894790649,68034100
9/17/2021,148.820007324,148.820007324,145.759994507,146.059997559,144.199554443,129868800
9/20/2021,143.800003052,144.839996338,141.270004272,142.940002441,141.119277954,123478900
9/21/2021,143.929992676,144.600006104,142.779998779,143.429992676,141.603042603,75834000
9/22/2021,144.449996948,146.429992676,143.699996948,145.850006104,143.992233276,76404300
9/23/2021,146.649993896,147.080001831,145.639999390,146.830001831,144.959747314,64838200
9/24/2021,145.660003662,147.470001221,145.559997559,146.919998169,145.048599243,53477900
9/27/2021,145.470001221,145.960006714,143.820007324,145.369995117,143.518371582,74150700
9/28/2021,143.250000000,144.750000000,141.690002441,141.910003662,140.102432251,108972300
9/29/2021,142.470001221,144.449996948,142.029998779,142.830001831,141.010696411,74602000
9/30/2021,143.660003662,144.380004883,141.279998779,141.500000000,139.697677612,89056700
10/1/2021,141.899993896,142.919998169,139.110000610,142.649993896,140.832992554,94639600
10/4/2021,141.759994507,142.210006714,138.270004272,139.139999390,137.367706299,98322000
10/5/2021,139.490005493,142.240005493,139.360000610,141.110000610,139.312622070,80861100
10/6/2021,139.470001221,142.149993896,138.369995117,142.000000000,140.191268921,83221100
10/7/2021,143.059997559,144.220001221,142.720001221,143.289993286,141.464859009,61732700
10/8/2021,144.029998779,144.179992676,142.559997559,142.899993896,141.079803467,58773200
10/11/2021,142.270004272,144.809997559,141.809997559,142.809997559,140.990966797,64452200
10/12/2021,143.229995728,143.250000000,141.039993286,141.509994507,139.707534790,73035900
